Program Area,Permit Number,Permit Type,Permit Status,Project Number,Customer Name,Legal Name,CN Number,Project type,TCEQ Received Date,Project Complete Date,Renewal Date,Project Status,Project Name,Regulated Entity,Physical Location,Region Name,County Name,Near City Name,Rules
NSR,171723,STDPMT,EFFECTIVE,353404,US DEPARTMENT OF THE ARMY,U.S. Department of the Army,CN600126262,INITIAL,02/08/2023,02/16/2023,02/16/2033,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN100210095,APPROX 0.25 MI N OF SGM SIMS AND OLD IRONSIDES DR INTX,REGION 06 - EL PASO,EL PASO,FORT BLISS,6005
NSR,173263,STDPMT,CANCELLED,359625,DISASTER MANAGEMENT GROUP LLC,"Disaster Management Group, LLC",CN606156578,INITIAL,06/30/2023,07/13/2023,07/13/2033,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN111316600,20751 CONSTITUTION AVE,REGION 06 - EL PASO,EL PASO,FORT BLISS,6005
NSR,173263,STDPMT,CANCELLED,362867,DISASTER MANAGEMENT GROUP LLC,"Disaster Management Group, LLC",CN606156578,AMEND,09/06/2023,09/11/2023,07/13/2033,COMPLETE,STANDARD PERMIT FOR EXISTING REGISTRATION,RN111316600,20751 CONSTITUTION AVE,REGION 06 - EL PASO,EL PASO,FORT BLISS,6005
NSR,123471,STDPMT,EFFECTIVE,364174,EL PASO ELECTRIC COMPANY,El Paso Electric Company,CN600352819,RENEWAL,09/28/2023,10/04/2023,10/04/2033,COMPLETE,AUTOMATIC RENEWAL 6005,RN106392624,13511B MONTANA AVE,REGION 06 - EL PASO,EL PASO,EL PASO,6005
NSR,123471,STDPMT,EFFECTIVE,370133,EL PASO ELECTRIC COMPANY,El Paso Electric Company,CN600352819,AMEND,02/07/2024,03/07/2024,10/04/2033,COMPLETE,STANDARD PERMIT FOR EXISTING REGISTRATION,RN106392624,13511B MONTANA AVE,REGION 06 - EL PASO,EL PASO,EL PASO,6005
NSR,177312,STDPMT,CANCELLED,378757,EATON CORPORATION,Eaton Corporation,CN600309561,INITIAL,08/21/2024,08/26/2024,08/26/2034,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN104990973,1 HELEN OF TROY PLZ,REGION 06 - EL PASO,EL PASO,EL PASO,6005
NSR,177312,STDPMT,CANCELLED,388993,EATON CORPORATION,Eaton Corporation,CN600309561,AMEND,02/18/2025,02/28/2025,08/26/2034,COMPLETE,STANDARD PERMIT FOR EXISTING REGISTRATION,RN104990973,1 HELEN OF TROY PLZ,REGION 06 - EL PASO,EL PASO,EL PASO,6005
NSR,180810,STDPMT,EFFECTIVE,395253,NORTHSTAR STATION LLC,Northstar Station LLC,CN606404465,INITIAL,07/09/2025,07/17/2025,07/17/2035,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN112244777,"FROM EL PASO, TAKE I-10 E TO SH-1281, TURN LEFT, RIGHT ON DARRINGTON ROAD, LEFT ON TEMPERENCE STREET, PROCEED 4.0 MILES TO SITE.",REGION 06 - EL PASO,EL PASO,AGUA DULCE,6005
NSR,181733,STDPMT,EFFECTIVE,398782,ENCHANTED ROCK LLC,"Enchanted Rock, LLC",CN606225175,INITIAL,10/02/2025,10/22/2025,10/22/2035,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN112295597,"FROM EL PASO, TAKE US-54E AND HEAD N FOR 13.2 MI. TURN L ON MCCOMBS ST. GO 4.3 MI AND TURN R ON STATE LINE DR. SITE IS ON R APPROX 2.7 MI DOWN",REGION 06 - EL PASO,EL PASO,EL PASO,6005
NSR,181782,STDPMT,EFFECTIVE,398911,ET GENCO LLC,Et Genco LLC,CN606278216,INITIAL,10/07/2025,10/15/2025,10/15/2035,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN112297924,"FROM ORLA, GO NW ON HWY 285 FOR 14.40 MI, TURN L FOR 1.71 MI, TURN L FOR 0.4 MI TO THE SITE.",REGION 06 - EL PASO,CULBERSON,ORLA,6005
NSR,183518,STDPMT,EFFECTIVE,407158,MOSER ENGINE SERVICE INC,"Moser Engine Service, Inc.",CN606494730,INITIAL,03/30/2026,04/02/2026,04/02/2036,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN112420278,EXIT 35 ON I-10 ONTO GATEWAY BLVD E. RIGHT ONTO NUEVO HUECO TANKS RD. RIGHT ONTO SOCORRO LOGISTICS LN. FACILITY WILL BE TOWARD NORTHWEST,REGION 06 - EL PASO,EL PASO,SOCORRO,6005
NSR,183518,STDPMT,EFFECTIVE,410580,ATLAS ENERGY SOLUTIONS SOCORRO LLC,"Atlas Energy Solutions Socorro, LLC",CN606520633,AMEND,06/02/2026,06/18/2026,04/02/2036,COMPLETE,STANDARD PERMIT FOR EXISTING REGISTRATION,RN112420278,EXIT 35 ON I-10 ONTO GATEWAY BLVD E. RIGHT ONTO NUEVO HUECO TANKS RD. RIGHT ONTO SOCORRO LOGISTICS LN. FACILITY WILL BE TOWARD NORTHWEST,REGION 06 - EL PASO,EL PASO,SOCORRO,6005
